id;nome;endereco;telefone
1;24/7 parsing;Bulgária Algodão;payment Mes
2;Triple-buffered Bacon;Bacon navigate;Pequeno tra
3;visualize;connecting;Filmes Cabo
4;models Configuration;circuit task-force;Roraima con
5;XSS superstructure SCSI;up Ferramentas haptic;back-end Sa
6;Borracha web-readiness dedicated;transmitting;synthesizin
7;vortals;primary payment Congelado;Analyst do
8;FTP Metal;Amapá up;Teclado Plá
9;Account deposit auxiliary;24/7 Bahia Piauí;transmit
10;redefine Trinidad;cinza Refinado açafrão;Queijo fuli
